Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
4fc25aa1-048f-370d-b0ae-4ac0309c4ae5,STERLING HOME HEALTH CARE & HOSPICE INC,1650 SIERRA AVE,YUBA CITY,CA,959938986,39.14030116968182,-121.65012714263797,5307773395,0.0,76
660b2939-d8d9-3a9c-9534-3a55eb9049ac,Kinderkrankenhaus Sankt Marien,Grillparzerstraße 9,Landshut,Bayern,84028,48.5344648,12.164104,+49 871 8520,0.0,8
bd920e76-5a0e-3428-a290-41b078f58c41,Praxisteam Pilgerzell,,Künzell,Hessen,36093,50.5274606,9.7318148,,0.0,21
8b81f0f2-0b7f-39cc-b94f-7e07bf04fe49,Lukas-Krankenhaus,Hindenburgstraße 56,Bünde,Nordrhein-Westfalen,32257,52.1975705,8.5935559,,0.0,4
1c77335c-6267-36f8-ad59-d16ec45856e2,VSL ST PAUL LLC,1405 HERITAGE DR,SAINT PAUL,NE,688733618,45.6769453,5.7847432,3087545486,0.0,3
bd05b409-6fd4-3521-bdd0-3b3df035ac0d,Prof. Dr. Gral,Hangbaumstraße 5a,Bünde,Nordrhein-Westfalen,32257,52.1967538,8.5840144,,0.0,61
7f4ea3e8-0f93-387e-bef3-85f21126ed91,Reha-Fachklinik Haus Renchtal,Renchtalstraße 14,Renchen,Baden-Württemberg,77871,48.5820166,8.0175517,+49 7843 949113,0.0,2
5205de88-8ed2-35a1-a8a3-4e237617b03c,Dr.Ballarin,Gartenstraße 7,Ispringen,Baden-Württemberg,75228,48.915979,8.6708541,,0.0,55
601b7fc9-3dd2-3284-a701-7ab3e0a5208b,Krankenhaus Maria Stern,Am Anger 1,Remagen,Rheinland-Pfalz,53424,50.5736112,7.2335732,,0.0,14
9d5cd9b1-fb16-3eee-a8d7-24e31253ecd8,Hausarztpraxis Schulstraße,Schulstraße 10,Scheeßel,Niedersachsen,27383,53.1715173,9.4800655,,0.0,8
142915f1-6ec3-3c06-af8a-a47c5ed89437,Geburtensaal und OP-Säle,,Chemnitz,Sachsen,09116,50.8438911,12.8830589,,0.0,21
2aeaa99b-4bb0-3b9d-9b24-df0acad83628,Allgemeinarzt Petersenn,Gutenbergstraße 7,Asbach-Bäumenheim,Bayern,86663,48.6842603,10.8164043,,0.0,33
c7fc9fe4-2d02-35db-ab1b-18f30a154d3a,KINDER RETIREMENT AND REHABILITATION CENTER  LLC,13938 HWY 165,KINDER,LA,706480001,51.1449692,5.7414008,3377385671,0.0,39
a9db35b2-1b70-3069-8b82-f56ea205fe17,Rheinische Landesklinik,,Mönchengladbach,Nordrhein-Westfalen,41239,51.1700078,6.4365605,,0.0,37
99da9dfb-9600-3554-ad6f-38381995675d,Oberhavel Kliniken,,Gransee,Brandenburg,16775,52.9989642,13.1438581,,0.0,23
81fd7b28-bafb-3388-9d52-70f24b4804ab,Dr. Medic. Mirsada Pozder,Am Marktplatz 12,Schauenstein,Bayern,95197,50.2785609,11.7412636,,0.0,21
0ce61de2-aa21-3cf7-a349-b8fc7fe563d5,Klinikum Bielefeld Rosenhöhe,An der Rosenhöhe 27,,Nordrhein-Westfalen,,51.9823113,8.530265,+49-521-943-50,0.0,144
ec4b60e3-89e7-3ea9-bcaa-63fa8a48f058,Hämmerle Allgemeinarzt,Wasserfeldstraße 5,Ruhstorf an der Rott,Bayern,94099,48.4391403,13.3337927,,0.0,67
43c407f3-5960-3a5d-9f0c-b92dc466b0da,Klinikum Westfalen (ehem. Kanppschaftskrankenhaus),Am Knappschaftskrankenhaus 1,Dortmund,Nordrhein-Westfalen,44309,51.5211617,7.5312629,,0.0,3
9dc0d11f-6406-3a39-907d-c54baec93dc9,Lichthof 8,Pauwelsstraße 30,Aachen,Nordrhein-Westfalen,52074,50.7766697,6.0417862,,0.0,2
580f507e-8334-37ac-a2a6-77ee6a91c8d7,DIAKOVERE Friederikenstift Humboldtstraße,Humboldtstraße 5,Hannover,Niedersachsen,30169,52.3721461,9.7236825,,0.0,7
fad5c5e1-e31c-33fe-a63b-31615c893a9b,Marienhospital,,Borken,Nordrhein-Westfalen,46325,51.8417595,6.8606781,,0.0,2
9117560a-645a-37d8-b37d-db20aed6e963,Dreifaltigkeits Hospital,,Lippstadt,Nordrhein-Westfalen,59557,51.6739698,8.33892,,0.0,45
a7fcf2bb-78ff-39ff-a2d7-940ae10c9c09,Kinderklinik,,Bottrop,Nordrhein-Westfalen,46236,51.5334509,6.9178071,,0.0,3
771da779-15be-3fd1-bd29-951b1aefe0f4,Hausarztzentrum,Barbarastraße 72,Duisburg,Nordrhein-Westfalen,47167,51.4938117,6.7944621,,0.0,42
e35667b8-7f47-38fd-96a7-5762d9b0a4cb,Werksärztlicher Dienst,,Hanau,Hessen,63457,50.1197526,8.9683512,,0.0,55
