Id,NAME,ADDRESS,CITY,STATE,ZIP,LAT,LON,PHONE,REVENUE,UTILIZATION
39f69417-1346-3bf0-a249-2e10700ea024,Ingrid Sonntag Allgemeinarzt,Breiteweg 17,Bad Wurzach,Baden-württemberg,88410,47.9071556,9.8933448,,0.0,58
132ed946-2fac-3e54-882b-b9042781ee49,Dr. med. Jörg Bergmann,Etzwiesenweg 16,Nußloch,Baden-württemberg,69226,49.3272257,8.6883812,+49 6224 10335,0.0,9
3c99c810-7918-3c9e-a5b1-720ee10629cc,Krankenhaus St. Vincentius,Untere Neckarstraße 1-5,Heidelberg,Baden-württemberg,69117,49.4117933,8.6970515,,0.0,3
a66d894a-38f3-3123-a9a1-ef4207daf6fa,Salem,Zeppelinstraße 33,Heidelberg,Baden-württemberg,69121,49.4238261,8.6843491,,0.0,182
a3e1eb8b-4df5-3dd1-92db-abbcebebff6b,Kliniken Schmieder Heidelberg,Speyererhofweg 1,Heidelberg,Baden-württemberg,69117,49.3955878,8.7080094,+49 6221 65400,0.0,637
52b2d93a-7d4d-3438-8225-3ff1f06f6d1f,Klinik Sankt Elisabeth,Furtwänglerstraße 5-7,Heidelberg,Baden-württemberg,69121,49.4218882,8.682024,,0.0,127
b820e7a8-6216-3e8f-9f9a-749ec581aa32,Klinik für Kinder- und Jugendpsychiatrie - Tageszentrum für Jugendliche,Blumenstraße 8,Heidelberg,Baden-württemberg,69115,49.4045156,8.6909949,+49 6221 56-4466,0.0,1
e75b3ede-30dd-3321-81fb-204ec025bc9e,Klinik Sankt Elisabeth,Furtwänglerstraße 5-7,Heidelberg,Baden-württemberg,69121,49.4218882,8.682024,,0.0,1
8541eb39-ec1f-3340-93a6-434b486cdf7b,Bethanien-Krankenhaus,Rohrbacher Straße 149,Heidelberg,Baden-württemberg,69126,49.3922528,8.6903374,,0.0,6
af5b650f-a4cc-3717-be01-27b4b59d201a,Nationales Centrum für Tumorerkrankungen,Im Neuenheimer Feld 460,Heidelberg,Baden-württemberg,69117,49.4182657,8.6633606,,0.0,759
2989b723-6608-3556-8582-1f5de63d7e36,Ärztehaus Dossenheim,Bahnhofstraße 26,Dossenheim,Baden-württemberg,69221,49.4490434,8.6689128,,0.0,453
9770938a-2e8f-374f-a566-379d1e91a95d,Kliniken Schmieder Heidelberg,Speyererhofweg 1,Heidelberg,Baden-württemberg,69117,49.3955878,8.7080094,+49 6221 65400,0.0,37
4295faa6-20d1-3d7b-a50f-81491d78ae0f,Ethianum,Voßstraße 6,Heidelberg,Baden-württemberg,69115,49.4094623,8.6840044,,0.0,174
e25c7127-b831-3237-bc37-3d7fd66601be,Augenarzt Wiesinger,Bahnhofstraße 14,Sandhausen,Baden-württemberg,69207,49.3423985,8.6603396,,0.0,27
94ed4c92-f375-3ed6-8660-5ae1f4fc94d1,Bethanien-Krankenhaus,Rohrbacher Straße 149,Heidelberg,Baden-württemberg,69126,49.3922528,8.6903374,,0.0,13
63244e68-2c77-3de9-b0d4-985733886915,Nierenzentrum Heidelberg,Im Neuenheimer Feld 162,Heidelberg,Baden-württemberg,69120,49.4144757,8.6658484,,0.0,6
c49bea03-84da-33e4-9648-b2fbd5f5d443,Ethianum,Voßstraße 6,Heidelberg,Baden-württemberg,69115,49.4094623,8.6840044,,0.0,89
d77a9cf8-fd4b-378f-889a-f9e4ae5417a3,Thoraxklinik Heidelberg,Röntgenstraße 1,Heidelberg,Baden-württemberg,69126,49.378496,8.6888564,+49 6221 396-0,0.0,317
8ffdcbbe-6b76-365b-88b4-7ce6f83ede01,Krankenhaus St. Vincentius,Untere Neckarstraße 1-5,Heidelberg,Baden-württemberg,69117,49.4117933,8.6970515,,0.0,426
5fe21005-e613-31a7-8ab9-2624a3351d39,Bethanien-Krankenhaus,Rohrbacher Straße 149,Heidelberg,Baden-württemberg,69126,49.3922528,8.6903374,,0.0,1
973f6574-c010-32fd-8e56-213a66d1d17a,Heidelberger Ionenstrahl-Therapiezentrum,Im Neuenheimer Feld 450,Heidelberg,Baden-württemberg,69117,49.4178461,8.6646134,,0.0,1
